UF,CIDADE,BAIRRO 
PE,ABREU E LIMA,ALTO SAO MIGUEL
PE,ABREU E LIMA,ALTO B VISTA
PE,ABREU E LIMA,ABREU E LIMA
PE,ABREU E LIMA,ENGENHO NOVO - ABREU E LI
PE,ABREU E LIMA,BELENGA
PE,ABREU E LIMA,BELA VISTA
PE,ABREU E LIMA,ABREU E LIMA (RUR)
PE,ABREU E LIMA,B RENDA
PE,ABREU E LIMA,CAETES III
PE,ABREU E LIMA,CAETES II
PE,ABREU E LIMA,CAETES I
PE,ABREU E LIMA,CAETES
PE,ABREU E LIMA,BOA SORTE
PE,ABREU E LIMA,FOSFATO 1
PE,ABREU E LIMA,VILA COHAB
PE,ABREU E LIMA,VILA BELA
PE,ABREU E LIMA,TIMBO
PE,ABREU E LIMA,SIT. JAGUARIBE
PE,ABREU E LIMA,SAO MIGUEL
PE,ABREU E LIMA,SAO BENTO
PE,ABREU E LIMA,SANTO ANTONIO
PE,ABREU E LIMA,RURAL
PE,ABREU E LIMA,PLANALTO
PE,ABREU E LIMA,PAULISTA
PE,ABREU E LIMA,LOT PLANALTO
PE,ABREU E LIMA,JARDIM CAETES
PE,ABREU E LIMA,JAGUARIBE
PE,ABREU E LIMA,IAMAN
PE,ABREU E LIMA,FREI DAMIAO
PE,ABREU E LIMA,FOSFATO
PE,ABREU E LIMA,DISTRITO INDUSTRIAL
PE,ABREU E LIMA,CENTRO
PE,ABREU E LIMA,AREA RURAL DE ABREU E LIMA
PE,ABREU E LIMA,CHA DE CRUZ
PE,ABREU E LIMA,BOA ESPERANCA
PE,ABREU E LIMA,BOA VISTA
PE,ABREU E LIMA,UTINGA
PE,ABREU E LIMA,SORVANE
PE,ABREU E LIMA,LOT. PRIMAVERA
PE,ABREU E LIMA,JAGUARANA
PE,ABREU E LIMA,PAU DE LEGUA
PE,ABREU E LIMA,PARATIBE
PE,ABREU E LIMA,MATINHA
PE,ABREU E LIMA,MANJOPE
PE,ABREU E LIMA,LOT. N HORIZONTE
